x_m,r_m,Ma_iso,delta_star_m,r_eff_m,Ma_eff,mu_Pa_s,Re_x
0.054625,0.022786,2.084053,6.15191187e-05,0.022725,2.079619,1.07997435e-04,2.101470e+05
0.054816,0.022875,2.090414,6.22112591e-05,0.022813,2.085963,1.07911376e-04,2.112547e+05
0.055007,0.022963,2.096705,6.29030921e-05,0.022900,2.092237,1.07826178e-04,2.123477e+05
0.055198,0.023052,2.102929,6.35946210e-05,0.022988,2.098443,1.07741827e-04,2.134265e+05
0.055389,0.023139,2.109086,6.42858485e-05,0.023075,2.104583,1.07658309e-04,2.144912e+05
0.055580,0.023227,2.115177,6.49767776e-05,0.023162,2.110657,1.07575612e-04,2.155424e+05
0.055771,0.023314,2.121204,6.56674105e-05,0.023248,2.116667,1.07493724e-04,2.165804e+05
0.055962,0.023401,2.127167,6.63577496e-05,0.023334,2.122613,1.07412631e-04,2.176054e+05
0.056153,0.023487,2.133068,6.70477967e-05,0.023420,2.128498,1.07332322e-04,2.186179e+05
0.056344,0.023574,2.138908,6.77375537e-05,0.023506,2.134321,1.07252786e-04,2.196181e+05
0.056536,0.023659,2.144688,6.84270221e-05,0.023591,2.140084,1.07174010e-04,2.206063e+05
0.056727,0.023745,2.150409,6.91162032e-05,0.023676,2.145788,1.07095985e-04,2.215828e+05
0.056918,0.023830,2.156071,6.98050982e-05,0.023760,2.151434,1.07018699e-04,2.225480e+05
0.057109,0.023915,2.161677,7.04937082e-05,0.023844,2.157023,1.06942142e-04,2.235021e+05
0.057300,0.023999,2.167226,7.11820338e-05,0.023928,2.162555,1.06866303e-04,2.244454e+05
0.057491,0.024084,2.172719,7.18700759e-05,0.024012,2.168033,1.06791172e-04,2.253781e+05
0.057682,0.024168,2.178158,7.25578348e-05,0.024095,2.173455,1.06716741e-04,2.263006e+05
0.057873,0.024251,2.183543,7.32453109e-05,0.024178,2.178824,1.06642998e-04,2.272131e+05
0.058064,0.024334,2.188876,7.39325044e-05,0.024260,2.184140,1.06569936e-04,2.281159e+05
0.058255,0.024417,2.194156,7.46194154e-05,0.024343,2.189404,1.06497545e-04,2.290091e+05
0.058446,0.024500,2.199385,7.53060438e-05,0.024424,2.194617,1.06425815e-04,2.298931e+05
0.058637,0.024582,2.204563,7.59923894e-05,0.024506,2.199779,1.06354740e-04,2.307680e+05
0.058828,0.024664,2.209691,7.66784519e-05,0.024587,2.204891,1.06284309e-04,2.316342e+05
0.059019,0.024745,2.214771,7.73642309e-05,0.024668,2.209954,1.06214515e-04,2.324918e+05
0.059210,0.024827,2.219801,7.80497258e-05,0.024749,2.214969,1.06145349e-04,2.333410e+05
0.059401,0.024908,2.224784,7.87349360e-05,0.024829,2.219936,1.06076804e-04,2.341821e+05
0.059593,0.024988,2.229721,7.94198607e-05,0.024909,2.224857,1.06008873e-04,2.350153e+05
0.059784,0.025069,2.234610,8.01044991e-05,0.024988,2.229730,1.05941546e-04,2.358407e+05
0.059975,0.025148,2.239454,8.07888502e-05,0.025068,2.234558,1.05874818e-04,2.366586e+05
0.060166,0.025228,2.244253,8.14729131e-05,0.025147,2.239341,1.05808680e-04,2.374692e+05
0.060357,0.025307,2.249007,8.21566866e-05,0.025225,2.244080,1.05743127e-04,2.382727e+05
0.060548,0.025386,2.253717,8.28401695e-05,0.025303,2.248774,1.05678150e-04,2.390692e+05
0.060739,0.025465,2.258383,8.35233605e-05,0.025381,2.253425,1.05613743e-04,2.398589e+05
0.060930,0.025543,2.263007,8.42062583e-05,0.025459,2.258033,1.05549899e-04,2.406420e+05
0.061121,0.025621,2.267589,8.48888614e-05,0.025536,2.262600,1.05486612e-04,2.414188e+05
0.061312,0.025699,2.272129,8.55711684e-05,0.025613,2.267124,1.05423875e-04,2.421893e+05
0.061503,0.025776,2.276628,8.62531778e-05,0.025690,2.271607,1.05361683e-04,2.429537e+05
0.061694,0.025853,2.281086,8.69348878e-05,0.025766,2.276050,1.05300028e-04,2.437122e+05
0.061885,0.025930,2.285503,8.76162968e-05,0.025842,2.280452,1.05238906e-04,2.444649e+05
0.062076,0.026006,2.289882,8.82974030e-05,0.025918,2.284815,1.05178309e-04,2.452120e+05
0.062267,0.026082,2.294221,8.89782047e-05,0.025993,2.289138,1.05118233e-04,2.459537e+05
0.062459,0.026158,2.298521,8.96587000e-05,0.026068,2.293423,1.05058672e-04,2.466901e+05
0.062650,0.026233,2.302783,9.03388869e-05,0.026143,2.297670,1.04999619e-04,2.474214e+05
0.062841,0.026308,2.307007,9.10187636e-05,0.026217,2.301879,1.04941070e-04,2.481476e+05
0.063032,0.026383,2.311194,9.16983279e-05,0.026291,2.306050,1.04883020e-04,2.488690e+05
0.063223,0.026457,2.315344,9.23775780e-05,0.026365,2.310185,1.04825462e-04,2.495856e+05
0.063414,0.026531,2.319457,9.30565115e-05,0.026438,2.314283,1.04768392e-04,2.502977e+05
0.063605,0.026605,2.323534,9.37351265e-05,0.026511,2.318345,1.04711805e-04,2.510053e+05
0.063796,0.026678,2.327576,9.44134206e-05,0.026584,2.322372,1.04655696e-04,2.517086e+05
0.063987,0.026751,2.331582,9.50913918e-05,0.026656,2.326363,1.04600059e-04,2.524076e+05
0.064178,0.026824,2.335553,9.57690377e-05,0.026728,2.330319,1.04544891e-04,2.531026e+05
0.064369,0.026896,2.339490,9.64463559e-05,0.026800,2.334241,1.04490186e-04,2.537936e+05
0.064560,0.026968,2.343393,9.71233443e-05,0.026871,2.338129,1.04435940e-04,2.544808e+05
0.064751,0.027040,2.347262,9.78000004e-05,0.026942,2.341983,1.04382148e-04,2.551643e+05
0.064942,0.027112,2.351098,9.84763217e-05,0.027013,2.345803,1.04328806e-04,2.558442e+05
0.065133,0.027183,2.354900,9.91523059e-05,0.027083,2.349591,1.04275909e-04,2.565205e+05
0.065324,0.027253,2.358670,9.98279505e-05,0.027154,2.353346,1.04223454e-04,2.571935e+05
0.065516,0.027324,2.362407,1.00503253e-04,0.027223,2.357068,1.04171435e-04,2.578632e+05
0.065707,0.027394,2.366113,1.01178211e-04,0.027293,2.360759,1.04119849e-04,2.585297e+05
0.065898,0.027464,2.369787,1.01852822e-04,0.027362,2.364418,1.04068692e-04,2.591932e+05
0.066089,0.027533,2.373429,1.02527082e-04,0.027431,2.368045,1.04017959e-04,2.598537e+05
0.066280,0.027602,2.377041,1.03200991e-04,0.027499,2.371642,1.03967647e-04,2.605113e+05
0.066471,0.027671,2.380621,1.03874544e-04,0.027567,2.375208,1.03917752e-04,2.611662e+05
0.066662,0.027739,2.384172,1.04547740e-04,0.027635,2.378743,1.03868270e-04,2.618184e+05
0.066853,0.027808,2.387692,1.05220576e-04,0.027702,2.382249,1.03819197e-04,2.624681e+05
0.067044,0.027875,2.391182,1.05893048e-04,0.027769,2.385724,1.03770529e-04,2.631152e+05
0.067235,0.027943,2.394643,1.06565155e-04,0.027836,2.389170,1.03722264e-04,2.637600e+05
0.067426,0.028010,2.398074,1.07236893e-04,0.027903,2.392587,1.03674396e-04,2.644024e+05
0.067617,0.028077,2.401477,1.07908260e-04,0.027969,2.395974,1.03626924e-04,2.650427e+05
0.067808,0.028143,2.404850,1.08579253e-04,0.028035,2.399333,1.03579843e-04,2.656808e+05
0.067999,0.028209,2.408196,1.09249869e-04,0.028100,2.402664,1.03533150e-04,2.663169e+05
0.068190,0.028275,2.411513,1.09920105e-04,0.028165,2.405967,1.03486841e-04,2.669510e+05
0.068382,0.028341,2.414802,1.10589959e-04,0.028230,2.409241,1.03440914e-04,2.675833e+05
0.068573,0.028406,2.418064,1.11259428e-04,0.028295,2.412488,1.03395365e-04,2.682138e+05
0.068764,0.028471,2.421298,1.11928508e-04,0.028359,2.415707,1.03350191e-04,2.688425e+05
0.068955,0.028535,2.424505,1.12597197e-04,0.028423,2.418900,1.03305388e-04,2.694696e+05
0.069146,0.028599,2.427685,1.13265492e-04,0.028486,2.422065,1.03260954e-04,2.700952e+05
0.069337,0.028663,2.430838,1.13933391e-04,0.028549,2.425204,1.03216886e-04,2.707193e+05
0.069528,0.028727,2.433965,1.14600889e-04,0.028612,2.428316,1.03173181e-04,2.713419e+05
0.069719,0.028790,2.437066,1.15267985e-04,0.028675,2.431402,1.03129835e-04,2.719633e+05
0.069910,0.028853,2.440141,1.15934675e-04,0.028737,2.434462,1.03086846e-04,2.725833e+05
0.070101,0.028915,2.443190,1.16600956e-04,0.028799,2.437497,1.03044211e-04,2.732022e+05
0.070292,0.028977,2.446213,1.17266825e-04,0.028860,2.440506,1.03001927e-04,2.738200e+05
0.070483,0.029039,2.449211,1.17932280e-04,0.028921,2.443489,1.02959991e-04,2.744367e+05
0.070674,0.029101,2.452184,1.18597318e-04,0.028982,2.446447,1.02918401e-04,2.750524e+05
0.070865,0.029162,2.455132,1.19261934e-04,0.029043,2.449381,1.02877154e-04,2.756672e+05
0.071056,0.029223,2.458056,1.19926127e-04,0.029103,2.452290,1.02836247e-04,2.762812e+05
0.071247,0.029284,2.460954,1.20589893e-04,0.029163,2.455174,1.02795678e-04,2.768943e+05
0.071439,0.029344,2.463829,1.21253230e-04,0.029223,2.458034,1.02755443e-04,2.775067e+05
0.071630,0.029404,2.466679,1.21916133e-04,0.029282,2.460869,1.02715542e-04,2.781185e+05
0.071821,0.029463,2.469506,1.22578601e-04,0.029341,2.463681,1.02675970e-04,2.787297e+05
0.072012,0.029523,2.472308,1.23240630e-04,0.029399,2.466470,1.02636727e-04,2.793403e+05
0.072203,0.029581,2.475088,1.23902217e-04,0.029458,2.469234,1.02597808e-04,2.799505e+05
0.072394,0.029640,2.477843,1.24563358e-04,0.029515,2.471975,1.02559212e-04,2.805602e+05
0.072585,0.029698,2.480576,1.25224052e-04,0.029573,2.474693,1.02520937e-04,2.811696e+05
0.072776,0.029756,2.483286,1.25884294e-04,0.029630,2.477388,1.02482980e-04,2.817787e+05
0.072967,0.029814,2.485972,1.26544081e-04,0.029687,2.480061,1.02445338e-04,2.823875e+05
0.073158,0.029871,2.488637,1.27203411e-04,0.029744,2.482710,1.02408010e-04,2.829961e+05
0.073349,0.029928,2.491278,1.27862281e-04,0.029800,2.485337,1.02370994e-04,2.836046e+05
0.073540,0.029985,2.493897,1.28520686e-04,0.029856,2.487942,1.02334287e-04,2.842130e+05
0.073731,0.030041,2.496495,1.29178625e-04,0.029912,2.490525,1.02297887e-04,2.848214e+05
0.073922,0.030097,2.499070,1.29836093e-04,0.029967,2.493085,1.02261792e-04,2.854298e+05
0.074113,0.030153,2.501623,1.30493088e-04,0.030022,2.495624,1.02226000e-04,2.860383e+05
0.074305,0.030208,2.504155,1.31149607e-04,0.030077,2.498141,1.02190508e-04,2.866470e+05
0.074496,0.030263,2.506665,1.31805646e-04,0.030131,2.500637,1.02155315e-04,2.872558e+05
0.074687,0.030318,2.509154,1.32461202e-04,0.030185,2.503111,1.02120419e-04,2.878648e+05
0.074878,0.030372,2.511621,1.33116272e-04,0.030239,2.505564,1.02085818e-04,2.884742e+05
0.075069,0.030426,2.514067,1.33770854e-04,0.030292,2.507995,1.02051510e-04,2.890838e+05
0.075260,0.030480,2.516493,1.34424942e-04,0.030345,2.510406,1.02017492e-04,2.896939e+05
0.075451,0.030533,2.518898,1.35078535e-04,0.030398,2.512796,1.01983764e-04,2.903044e+05
0.075642,0.030586,2.521282,1.35731630e-04,0.030450,2.515166,1.01950322e-04,2.909153e+05
0.075833,0.030639,2.523645,1.36384222e-04,0.030502,2.517515,1.01917166e-04,2.915268e+05
0.076024,0.030691,2.525988,1.37036310e-04,0.030554,2.519843,1.01884294e-04,2.921389e+05
0.076215,0.030743,2.528311,1.37687888e-04,0.030605,2.522151,1.01851703e-04,2.927516e+05
0.076406,0.030795,2.530614,1.38338956e-04,0.030656,2.524440,1.01819392e-04,2.933649e+05
0.076597,0.030846,2.532897,1.38989508e-04,0.030707,2.526708,1.01787359e-04,2.939790e+05
0.076788,0.030897,2.535160,1.39639542e-04,0.030757,2.528956,1.01755602e-04,2.945938e+05
0.076979,0.030948,2.537403,1.40289055e-04,0.030807,2.531185,1.01724121e-04,2.952094e+05
0.077170,0.030998,2.539626,1.40938043e-04,0.030857,2.533394,1.01692912e-04,2.958259e+05
0.077362,0.031048,2.541831,1.41586503e-04,0.030907,2.535583,1.01661975e-04,2.964432e+05
0.077553,0.031098,2.544015,1.42234432e-04,0.030956,2.537753,1.01631307e-04,2.970615e+05
0.077744,0.031147,2.546181,1.42881827e-04,0.031004,2.539904,1.01600908e-04,2.976808e+05
0.077935,0.031196,2.548327,1.43528684e-04,0.031053,2.542036,1.01570776e-04,2.983011e+05
0.078126,0.031245,2.550455,1.44175001e-04,0.031101,2.544149,1.01540908e-04,2.989224e+05
0.078317,0.031294,2.552564,1.44820773e-04,0.031149,2.546243,1.01511304e-04,2.995449e+05
0.078508,0.031342,2.554653,1.45465997e-04,0.031196,2.548318,1.01481962e-04,3.001685e+05
0.078699,0.031389,2.556724,1.46110671e-04,0.031243,2.550374,1.01452881e-04,3.007932e+05
0.078890,0.031437,2.558777,1.46754790e-04,0.031290,2.552412,1.01424058e-04,3.014193e+05
0.079081,0.031484,2.560811,1.47398353e-04,0.031337,2.554431,1.01395494e-04,3.020465e+05
0.079272,0.031531,2.562827,1.48041354e-04,0.031383,2.556432,1.01367185e-04,3.026751e+05
0.079463,0.031577,2.564825,1.48683792e-04,0.031428,2.558415,1.01339131e-04,3.033050e+05
0.079654,0.031623,2.566804,1.49325663e-04,0.031474,2.560380,1.01311330e-04,3.039364e+05
0.079845,0.031669,2.568766,1.49966962e-04,0.031519,2.562327,1.01283781e-04,3.045691e+05
0.080036,0.031714,2.570709,1.50607688e-04,0.031564,2.564255,1.01256483e-04,3.052033e+05
0.080228,0.031760,2.572635,1.51247837e-04,0.031608,2.566166,1.01229434e-04,3.058390e+05
0.080419,0.031804,2.574543,1.51887405e-04,0.031653,2.568059,1.01202633e-04,3.064763e+05
0.080610,0.031849,2.576433,1.52526390e-04,0.031696,2.569935,1.01176078e-04,3.071151e+05
0.080801,0.031893,2.578306,1.53164787e-04,0.031740,2.571793,1.01149769e-04,3.077556e+05
0.080992,0.031937,2.580161,1.53802593e-04,0.031783,2.573633,1.01123704e-04,3.083977e+05
0.081183,0.031980,2.581999,1.54439806e-04,0.031826,2.575456,1.01097881e-04,3.090416e+05
0.081374,0.032023,2.583820,1.55076422e-04,0.031868,2.577262,1.01072301e-04,3.096871e+05
0.081565,0.032066,2.585624,1.55712437e-04,0.031911,2.579051,1.01046960e-04,3.103344e+05
0.081756,0.032109,2.587410,1.56347848e-04,0.031952,2.580823,1.01021858e-04,3.109836e+05
0.081947,0.032151,2.589180,1.56982651e-04,0.031994,2.582577,1.00996995e-04,3.116345e+05
0.082138,0.032193,2.590933,1.57616845e-04,0.032035,2.584315,1.00972368e-04,3.122874e+05
0.082329,0.032234,2.592668,1.58250424e-04,0.032076,2.586036,1.00947977e-04,3.129422e+05
0.082520,0.032276,2.594388,1.58883385e-04,0.032117,2.587740,1.00923820e-04,3.135989e+05
0.082711,0.032316,2.596090,1.59515726e-04,0.032157,2.589427,1.00899896e-04,3.142576e+05
0.082902,0.032357,2.597776,1.60147443e-04,0.032197,2.591098,1.00876205e-04,3.149184e+05
0.083093,0.032397,2.599445,1.60778532e-04,0.032236,2.592752,1.00852745e-04,3.155812e+05
0.083285,0.032437,2.601098,1.61408991e-04,0.032276,2.594390,1.00829515e-04,3.162461e+05
0.083476,0.032477,2.602735,1.62038815e-04,0.032315,2.596012,1.00806513e-04,3.169132e+05
0.083667,0.032516,2.604355,1.62668001e-04,0.032353,2.597617,1.00783740e-04,3.175824e+05
0.083858,0.032555,2.605960,1.63296547e-04,0.032391,2.599206,1.00761193e-04,3.182538e+05
0.084049,0.032593,2.607548,1.63924447e-04,0.032429,2.600779,1.00738873e-04,3.189275e+05
0.084240,0.032631,2.609120,1.64551700e-04,0.032467,2.602336,1.00716777e-04,3.196035e+05
0.084431,0.032669,2.610676,1.65178302e-04,0.032504,2.603877,1.00694905e-04,3.202817e+05
0.084622,0.032707,2.612216,1.65804249e-04,0.032541,2.605402,1.00673256e-04,3.209624e+05
0.084813,0.032744,2.613741,1.66429537e-04,0.032578,2.606911,1.00651828e-04,3.216454e+05
0.085004,0.032781,2.615249,1.67054165e-04,0.032614,2.608405,1.00630622e-04,3.223308e+05
0.085195,0.032818,2.616742,1.67678127e-04,0.032650,2.609882,1.00609636e-04,3.230186e+05
0.085386,0.032854,2.618220,1.68301420e-04,0.032686,2.611344,1.00588868e-04,3.237090e+05
0.085577,0.032890,2.619681,1.68924042e-04,0.032721,2.612791,1.00568319e-04,3.244019e+05
0.085768,0.032926,2.621128,1.69545989e-04,0.032756,2.614222,1.00547987e-04,3.250973e+05
0.085959,0.032961,2.622559,1.70167256e-04,0.032791,2.615637,1.00527871e-04,3.257954e+05
0.086151,0.032996,2.623974,1.70787842e-04,0.032825,2.617038,1.00507971e-04,3.264960e+05
0.086342,0.033030,2.625375,1.71407741e-04,0.032859,2.618423,1.00488285e-04,3.271994e+05
0.086533,0.033065,2.626760,1.72026952e-04,0.032893,2.619792,1.00468813e-04,3.279054e+05
0.086724,0.033099,2.628130,1.72645470e-04,0.032926,2.621147,1.00449554e-04,3.286141e+05
0.086915,0.033132,2.629485,1.73263292e-04,0.032959,2.622486,1.00430507e-04,3.293257e+05
0.087106,0.033166,2.630824,1.73880414e-04,0.032992,2.623810,1.00411672e-04,3.300400e+05
0.087297,0.033199,2.632149,1.74496833e-04,0.033024,2.625120,1.00393046e-04,3.307572e+05
0.087488,0.033231,2.633459,1.75112546e-04,0.033056,2.626414,1.00374630e-04,3.314772e+05
0.087679,0.033264,2.634754,1.75727548e-04,0.033088,2.627693,1.00356424e-04,3.322001e+05
0.087870,0.033296,2.636034,1.76341837e-04,0.033119,2.628958,1.00338425e-04,3.329260e+05
0.088061,0.033327,2.637300,1.76955409e-04,0.033150,2.630208,1.00320633e-04,3.336549e+05
0.088252,0.033359,2.638551,1.77568261e-04,0.033181,2.631443,1.00303048e-04,3.343867e+05
0.088443,0.033390,2.639787,1.78180388e-04,0.033211,2.632663,1.00285669e-04,3.351216e+05
0.088634,0.033420,2.641008,1.78791788e-04,0.033241,2.633869,1.00268495e-04,3.358596e+05
0.088825,0.033451,2.642215,1.79402457e-04,0.033271,2.635060,1.00251525e-04,3.366007e+05
0.089016,0.033481,2.643408,1.80012391e-04,0.033301,2.636237,1.00234759e-04,3.373450e+05
0.089208,0.033510,2.644586,1.80621586e-04,0.033330,2.637399,1.00218195e-04,3.380924e+05
0.089399,0.033540,2.645749,1.81230041e-04,0.033358,2.638547,1.00201834e-04,3.388431e+05
0.089590,0.033569,2.646898,1.81837749e-04,0.033387,2.639680,1.00185675e-04,3.395970e+05
0.089781,0.033597,2.648033,1.82444709e-04,0.033415,2.640799,1.00169716e-04,3.403542e+05
0.089972,0.033626,2.649154,1.83050917e-04,0.033443,2.641904,1.00153958e-04,3.411148e+05
0.090163,0.033654,2.650261,1.83656369e-04,0.033470,2.642995,1.00138399e-04,3.418786e+05
0.090354,0.033682,2.651353,1.84261061e-04,0.033497,2.644071,1.00123039e-04,3.426459e+05
0.090545,0.033709,2.652431,1.84864990e-04,0.033524,2.645133,1.00107878e-04,3.434167e+05
0.090736,0.033736,2.653496,1.85468152e-04,0.033551,2.646181,1.00092914e-04,3.441908e+05
0.090927,0.033763,2.654546,1.86070545e-04,0.033577,2.647215,1.00078148e-04,3.449685e+05
0.091118,0.033789,2.655582,1.86672163e-04,0.033603,2.648235,1.00063577e-04,3.457498e+05
0.091309,0.033815,2.656604,1.87273004e-04,0.033628,2.649242,1.00049203e-04,3.465346e+05
0.091500,0.033841,2.657613,1.87873063e-04,0.033653,2.650234,1.00035024e-04,3.473230e+05
0.091691,0.033866,2.658607,1.88472339e-04,0.033678,2.651212,1.00021040e-04,3.481150e+05
0.091882,0.033892,2.659588,1.89070825e-04,0.033703,2.652176,1.00007250e-04,3.489108e+05
0.092074,0.033916,2.660555,1.89668520e-04,0.033727,2.653127,9.99936532e-05,3.497102e+05
0.092265,0.033941,2.661508,1.90265420e-04,0.033751,2.654064,9.99802498e-05,3.505135e+05
0.092456,0.033965,2.662447,1.90861520e-04,0.033774,2.654987,9.99670390e-05,3.513205e+05
0.092647,0.033989,2.663373,1.91456817e-04,0.033797,2.655897,9.99540201e-05,3.521313e+05
0.092838,0.034012,2.664286,1.92051308e-04,0.033820,2.656792,9.99411927e-05,3.529460e+05
0.093029,0.034035,2.665184,1.92644989e-04,0.033843,2.657675,9.99285563e-05,3.537646e+05
0.093220,0.034058,2.666069,1.93237855e-04,0.033865,2.658543,9.99161104e-05,3.545872e+05
0.093411,0.034081,2.666941,1.93829905e-04,0.033887,2.659398,9.99038545e-05,3.554137e+05
0.093602,0.034103,2.667799,1.94421133e-04,0.033908,2.660240,9.98917881e-05,3.562443e+05
0.093793,0.034125,2.668644,1.95011536e-04,0.033930,2.661068,9.98799107e-05,3.570789e+05
0.093984,0.034146,2.669475,1.95601111e-04,0.033950,2.661882,9.98682218e-05,3.579176e+05
0.094175,0.034167,2.670293,1.96189854e-04,0.033971,2.662683,9.98567210e-05,3.587604e+05
0.094366,0.034188,2.671097,1.96777760e-04,0.033991,2.663471,9.98454079e-05,3.596074e+05
0.094557,0.034208,2.671888,1.97364827e-04,0.034011,2.664246,9.98342819e-05,3.604586e+05
0.094748,0.034229,2.672666,1.97951051e-04,0.034031,2.665007,9.98233428e-05,3.613140e+05
0.094939,0.034249,2.673431,1.98536427e-04,0.034050,2.665755,9.98125899e-05,3.621737e+05
0.095131,0.034268,2.674182,1.99120952e-04,0.034069,2.666489,9.98020230e-05,3.630378e+05
0.095322,0.034287,2.674921,1.99704623e-04,0.034088,2.667211,9.97916416e-05,3.639062e+05
0.095513,0.034306,2.675646,2.00287436e-04,0.034106,2.667919,9.97814452e-05,3.647790e+05
0.095704,0.034325,2.676358,2.00869386e-04,0.034124,2.668614,9.97714336e-05,3.656563e+05
0.095895,0.034343,2.677057,2.01450471e-04,0.034141,2.669295,9.97616063e-05,3.665380e+05
0.096086,0.034361,2.677742,2.02030685e-04,0.034159,2.669964,9.97519629e-05,3.674243e+05
0.096277,0.034378,2.678415,2.02610027e-04,0.034176,2.670620,9.97425031e-05,3.683151e+05
0.096468,0.034395,2.679075,2.03188491e-04,0.034192,2.671262,9.97332265e-05,3.692105e+05
0.096659,0.034412,2.679722,2.03766074e-04,0.034209,2.671892,9.97241327e-05,3.701106e+05
0.096850,0.034429,2.680355,2.04342772e-04,0.034225,2.672508,9.97152214e-05,3.710153e+05
0.097041,0.034445,2.680976,2.04918581e-04,0.034240,2.673112,9.97064923e-05,3.719248e+05
0.097232,0.034461,2.681584,2.05493498e-04,0.034256,2.673702,9.96979449e-05,3.728390e+05
0.097423,0.034477,2.682179,2.06067519e-04,0.034271,2.674280,9.96895791e-05,3.737581e+05
0.097614,0.034492,2.682761,2.06640639e-04,0.034285,2.674844,9.96813944e-05,3.746820e+05
0.097805,0.034507,2.683330,2.07212855e-04,0.034300,2.675396,9.96733906e-05,3.756108e+05
0.097996,0.034521,2.683886,2.07784163e-04,0.034314,2.675935,9.96655673e-05,3.765445e+05
0.098188,0.034536,2.684430,2.08354560e-04,0.034327,2.676461,9.96579243e-05,3.774832e+05
0.098379,0.034550,2.684961,2.08924040e-04,0.034341,2.676974,9.96504612e-05,3.784270e+05
0.098570,0.034563,2.685478,2.09492601e-04,0.034354,2.677474,9.96431779e-05,3.793758e+05
0.098761,0.034576,2.685984,2.10060239e-04,0.034366,2.677962,9.96360739e-05,3.803297e+05
0.098952,0.034589,2.686476,2.10626949e-04,0.034379,2.678436,9.96291490e-05,3.812888e+05
0.099143,0.034602,2.686956,2.11192728e-04,0.034391,2.678898,9.96224030e-05,3.822530e+05
0.099334,0.034614,2.687423,2.11757572e-04,0.034403,2.679347,9.96158357e-05,3.832226e+05
